,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
Tatsumaki#8792,0,0,203,0,0,0,121,1558,0,0
Necro#4608,0,0,7,0,0,2,0,216,0,0
SuperGummying#7574,0,8,94,7,496,875,36,10893,0,0
Ayana#8911,0,0,30,0,0,7,74,3780,0,0
willofd2011#9368,0,0,23,0,129,44,0,2244,0,0
Dragonite#7992,0,19,100,24,294,85,5,2732,0,0
EyanSays#2557,0,0,34,0,16,9,11,350,0,0
Master9000#7819,0,0,197,0,243,578,1,8124,0,0
Mee6#4876,0,0,28,0,0,0,7,334,0,0
Neon Strike Kitty#7107,0,0,31,1,224,349,60,3741,0,0
Kugallyblitz#5116,0,0,46,5,68,178,43,4079,0,0
Aqua033#1178,0,0,4,0,20,57,18,1661,0,0
Deino Mite#2279,0,0,75,0,34,176,103,2081,0,0
Deci#4905,0,0,12,0,18,55,4,1124,0,0
Inferno#4358,0,0,2,0,7,8,4,241,0,0
VortexOA#4922,0,0,3,0,3,17,5,432,0,0
Kireina#0586,0,0,43,1,62,107,10,4347,0,0
Crow_Songs#4830,0,0,0,0,1,0,0,30,0,0
superheronerd#4117,0,0,4,0,80,151,99,2710,0,0
Strike#1382,0,0,0,1,0,4,2,48,0,0
Demon Lord 93#6056,0,0,3,0,0,2,4,185,0,0
Psps00#9227,0,0,0,0,0,0,1,8,0,0
Pogi#8259,0,0,6,0,0,6,0,88,0,0
JelloHammer#4364,0,0,22,0,11,69,14,1515,0,0
DouG#7542,0,0,1,0,0,1,0,27,0,0
KingofZeal#6531,0,0,35,0,19,65,2,2117,0,0
JoeDan54#0641,0,0,2,0,0,0,0,24,0,0
OmoBio#4193,0,0,0,0,0,1,0,4,0,0
Luckyskarm#1263,0,0,5,0,65,67,14,958,0,0
Skarmory127#0414,0,0,0,0,0,0,0,1,0,0
regal swan#1334,0,0,8,0,0,45,0,431,0,0
PKMN03#2867,0,0,1,0,27,14,3,267,0,0
Divexz#4826,0,0,0,0,1,4,1,140,0,0
MajesticEclipse02#6358,0,0,14,0,25,98,11,840,0,0
Zaranius#4608,0,0,6,0,1,12,7,154,0,0
ToxicXplosion Gaming#8055,0,0,0,0,0,4,2,25,0,0
Zack (Gamdin)#9221,0,0,1,0,0,3,0,23,0,0
Zek#6941,0,0,3,0,0,1,0,155,0,0
cadance#6458,0,0,41,1,18,63,0,1161,0,0
Lennán#0417,0,0,0,0,0,1,0,64,0,0
Seff The Killer#3916,0,0,6,0,0,6,0,93,0,0
majora#8356,0,0,0,0,0,1,1,17,0,0
wolverale12#1459,0,0,4,0,4,6,0,115,0,0
wunderfizz#8860,0,0,0,0,0,0,0,59,0,0
Animal_Glue_#1363,0,1,1,0,10,22,0,330,0,0
darklordfawful666#8618,0,0,0,0,0,0,0,1,0,0
Rainy#0021,0,0,9,0,23,73,2,808,0,0
aperez8696#9839,0,0,0,0,0,0,0,6,0,0
TheDarkBritish#1791,0,0,0,0,0,0,0,7,0,0
ash37#1900,0,0,0,0,0,0,0,2,0,0
BreeZaps#1767,0,0,5,0,1,12,1,229,0,0
Lightning#9716,0,0,3,0,0,9,4,74,0,0
,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
chris isma#9227,0,0,0,0,0,0,0,6,0,0
Noex#4632,0,0,4,0,0,3,0,122,0,0
Ozzi#0135,0,0,0,0,0,1,0,6,0,0
NightShade#6393,0,0,3,0,25,33,46,373,0,0
Neptune#6966,0,0,1,0,0,1,0,8,0,0
yamos#9794,0,0,0,0,0,0,0,1,0,0
KaosDragoon#7628,0,0,0,0,0,0,0,1,0,0
Mårten#3382,0,0,0,0,0,0,0,5,0,0
Lubb#8947,0,0,0,0,0,0,0,7,0,0
LuckyTumminello#8838,0,0,0,0,0,1,0,39,0,0
Steel Moon#7631,0,0,0,0,0,1,0,2,0,0
D Shum#2863,0,0,0,0,0,0,0,13,0,0
Sky#8597,0,0,1,0,0,0,0,23,0,0
CoolioAsh#9736,0,0,0,0,0,0,0,1,0,0
Roserade#7000,0,0,0,0,0,3,0,38,0,0
LightsXBane#1479,0,0,0,0,0,2,0,13,0,0
JaCk#0723,0,0,0,0,0,0,0,12,0,0
Kyrosho#5103,0,0,0,0,0,1,0,3,0,0
Kinesis (Aaron)#6306,0,0,0,0,0,2,0,36,0,0
ash37#1974,0,0,0,0,0,0,0,1,0,0
Manawolf25#9898,0,0,0,0,0,0,0,1,0,0
