whore,Potty mouth!,SKITTY
slut,Potty mouth!,SKITTY
nigger,wow r00d,SKITTY
pussbag,Potty mouth!,DELCATTY
jacking off,Get a room!,SKITTY
loli, grow up,  
<:kingofapproval:417146440473640960>, For eyans use only, `<:SeemsGood:327307864463114250>` 
!cheer,,ヽ(°▽ °)ノ 
!thonk,, `<:thonk:416798428463628289>` 
!cheering,, ヽ(°▽ °)ノ 
!concerned,, ಠ_ಠ 
!angery,,ლ(ಠ益ಠლ) 
!broken,, ヽ( ｡ ヮﾟ)ノ 
!slap,,（。_°☆＼(- _– ) 
!facepalm,, (－‸ლ) 
:kingofapproval:, For Eyan's use only, `<:SeemsGood:327307864463114250>` 
!throw,, ｡･ﾟ･◝( ◕ ヮ ◕)◜･ﾟ･｡
!notyet,, `<:NotYet:420735431962001409>`
!thumbup,,  (๑•͈ᴗ•͈)B
sieg heil, <@!137336478291329024>, SKITTY
nigg,wow r00d, SKITTY
negro,sigh,SKITTY
